userId,movieId,rating
A30TK6U7DNS82R,0826414346,5.0
A14OJS0VWMOSWO,0826414346,5.0
A3NIQK6ZLYEP1L,0963923080,4.0
A281NPSIMI1C2R,0789480662,5.0
A14OJS0VWMOSWO,1884734766,5.0
A1RJD10TTI568L,B0007DVHU2,5.0
A1RJD10TTI568L,B0007DVHU2,5.0
A2UIXU97JYCPZG,B0007DQIIS,4.0
A1TIZI060W4BD9,B000PHTCGG,5.0
A1OB5L3WMHJAD9,B000PHTCGG,4.0
A14OJS0VWMOSWO,B000FZEKVA,5.0
AU7ND6NOCX9IA,1890951617,1.0
AUHG8KSHI529U,0345340949,4.0
A1RJD10TTI568L,1852309040,4.0
A2L7N2U5Z316ZE,1852309040,5.0
AHD101501WCN1,B000H45MXO,5.0
A4FX5YCJA630V,0671551345,3.0
A1X8VZWTOG8IS6,0812521765,3.0
A14OJS0VWMOSWO,B000MU831Q,5.0
A2TXR85WQLE32N,0891010947,5.0
A2PWUIQG57O1AZ,B000N7612G,4.0
A3MV1KKHX51FYT,0688071643,4.0
A1S3C5OFU508P3,0688071643,4.0
A1D2C0WDCSHUWZ,B000GSNTRC,4.0
A2VE83MZF98ITY,B0006P6WSS,5.0
AFVQZQ8PW0L,050552421X,5.0
A39650P2CZUUC9,B000MCKQRS,4.0
AFVQZQ8PW0L,B000MCKQRS,5.0
A2GBJQ9THOYDAJ,B000MCKQRS,4.0
A1IOJE0W1NXOSE,B000MCKQRS,4.0
A1N1YEMTI9DJ86,B000MCKQRS,5.0
AUTBHG6070SL4,0375422811,4.0
A1RAUVCWYHTQI4,0375422811,3.0
A1N1YEMTI9DJ86,B000O3QCH8,4.0
A3MV1KKHX51FYT,B000O3QCH8,3.0
A39650P2CZUUC9,B000O3QCH8,3.0
A1S3C5OFU508P3,0836204271,5.0
A2TXR85WQLE32N,B0006AUI9W,4.0
A2FTHCGH06O4Y5,B0007H4QBK,5.0
A24505CR98NLLV,B0007H4QBK,5.0
A258HDMERSI6WJ,B00085GEUM,3.0
A1S3C5OFU508P3,B00085GEUM,5.0
A18OBUSMXVE8R0,1933112042,5.0
A14OJS0VWMOSWO,1933112042,5.0
A3MQXFVZ9DCE8M,B0008AGXVW,2.0
A55MRYPUAX4QU,0226143066,2.0
A3M174IC0VXOS2,B000NRYUHO,5.0
A3PGGI7A6XCNF1,B000NRYUHO,5.0
A1K1JW1C5CUSUZ,B000NRYUHO,2.0
A3M174IC0VXOS2,B000NRYUHO,4.0
AFVQZQ8PW0L,B000NRYUHO,5.0
AC1K4OQOZ90RS,B000NRYUHO,2.0
A3BH49ZKESHDID,B000NRYUHO,3.0
A2RPIGO3G4M6GN,B000NRYUHO,2.0
AUM3YMZ0YRJE0,B000N6DDJQ,5.0
AMKZHBOK7VMQR,B000N6DDJQ,5.0
AWLFVCT9128JV,B000N6DDJQ,4.0
ABN5K7K1TM1QA,B000N6DDJQ,5.0
A3IKBHODOTYYHM,B000N6DDJQ,4.0
A3KF4IP2MUS8QQ,B000N6DDJQ,5.0
A1N1YEMTI9DJ86,B000N6DDJQ,5.0
A1D2C0WDCSHUWZ,B000N6DDJQ,5.0
A2AYSFGUP5VTY3,B000N6DDJQ,5.0
A1D2C0WDCSHUWZ,B000N6DDJQ,5.0
A3NI29U4P5NQF1,B000N6DDJQ,5.0
AGEIT17HENDIS,B000N6DDJQ,5.0
A2SHQJP6PNQTLD,B000N6DDJQ,4.0
A20EEWWSFMZ1PN,B000N6DDJQ,3.0
A96K1ZGW56S2I,B000N6DDJQ,5.0
A3JSRMS7FO6EKQ,B000N6DDJQ,4.0
A1K1JW1C5CUSUZ,B000N6DDJQ,5.0
A2F540P3L6P5CL,B000N6DDJQ,5.0
A370Z6I5GBWU44,B000N6DDJQ,4.0
A1TIZI060W4BD9,B000N6DDJQ,3.0
A1D2C0WDCSHUWZ,B000N6DDJQ,5.0
A1BA72K4VK1UN1,B000N6DDJQ,3.0
AI37YX1U4KB1L,B000N6DDJQ,4.0
A3FVAWZNKW9GX,B000N6DDJQ,5.0
A1CHM200OEN65X,B000N6DDJQ,5.0
AFVQZQ8PW0L,B000N6DDJQ,5.0
A328S9RN3U5M68,B000N6DDJQ,5.0
A8F2AZWB20X1H,B000N6DDJQ,5.0
ABN5K7K1TM1QA,B000N6DDJQ,5.0
A3FHAMLNGHCFU7,B000N6DDJQ,4.0
A3O2RCKAMSE9X7,B000N6DDJQ,5.0
AHD101501WCN1,B000N6DDJQ,5.0
A232HUAELH5J6V,B000N6DDJQ,5.0
A3EOHYIHQM3KK,B000N6DDJQ,4.0
A12A08OL0TZY0W,B000N6DDJQ,5.0
A1D2C0WDCSHUWZ,B000N6DDJQ,5.0
AFVQZQ8PW0L,1902934229,4.0
A1BXA3SM3AJOKL,B00070YCSO,5.0
A2YF4ZMECJVLK9,B00070YCSO,4.0
A1CHM200OEN65X,B00070YCSO,5.0
A1MC6BFHWY6WC3,B0007EN04M,5.0
A2OJW07GQRNJUT,B0007EN04M,5.0
A1IOJE0W1NXOSE,B0006DM4DW,4.0
A1BI8PUEHA5CHW,B0006DM4DW,3.0
A1DQZBHEU98PBT,B0006DM4DW,4.0
A30KEXFT9SILL6,0886770947,3.0
A1K1JW1C5CUSUZ,087584782X,5.0
AFVQZQ8PW0L,0976324644,5.0
A4H4KYSM2KQ85,0976324644,3.0
A3NIQK6ZLYEP1L,0976324644,5.0
A328S9RN3U5M68,0976324644,5.0
A1S3C5OFU508P3,0976324644,5.0
ACIBQ6BQ6AWEV,B0006DWYE6,3.0
ACIBQ6BQ6AWEV,B000GA80WY,3.0
A3M174IC0VXOS2,0847822990,5.0
A2ODBHT4URXVXQ,B000NKGYNE,5.0
A39650P2CZUUC9,B000NKGYNE,5.0
A1BMKEJ61X57EU,0205314554,4.0
AQQLWCMRNDFGI,1574883232,5.0
A1ZDWD35AZL3S,B0007DKNSO,4.0
A1G37DFO8MQW0M,B0007DKNSO,4.0
A3BIWTN2DA0YY2,B00005X3W6,4.0
AFVQZQ8PW0L,0756402905,5.0
A1GARI2JT6EAWA,073852008X,5.0
AUHG8KSHI529U,1883011035,5.0
A1S3C5OFU508P3,B0007IVPAO,3.0
A1MZB6UBKOVSK0,1574900072,3.0
AK7D1BHZOSOL1,B000NSKB12,5.0
A126KX6FVI4T66,B000NSKB12,3.0
A1D2C0WDCSHUWZ,B000NSKB12,5.0
A13G1TKIKHGV3F,B000NSKB12,4.0
A1D2C0WDCSHUWZ,B000NSKB12,5.0
A14OJS0VWMOSWO,0813533821,5.0
A4FX5YCJA630V,0671551353,3.0
